Quarters,(All),,,,,,,,,,,,,,,,
Years,2019,,,,,,,,,,,,,,,,
,,,,,,,,,,Row Labels,Average of B1,Average of B2,Average of B3,Average of B4,Average of B5,Average of B6,Average of B7
,,,,,,,,,,Dec,912.950,1196.440,1357.890,2426.660,2280.590,2955.110,1742.970
,,,,,,,,,2016,Jan,854.218,1175.982,1257.509,2274.418,1990.282,2973.891,1495.464
,,,,,,,,,,Feb,931.322,1287.543,1441.043,2451.329,2272.943,3005.465,1763.957
,,,,,,,,,,Mar,1365.573,1674.973,1919.482,2719.300,2552.082,2951.146,2033.636
,,,,,,,,,,Apr,1056.019,1475.942,1790.269,2973.231,2930.077,3133.231,2310.654
,,,,,,,,,,May,1353.000,1730.193,2054.587,2732.635,2856.144,3066.279,2357.933
,,,,,,,,,,Jun,20000.000,20000.000,20000.000,20000.000,5667.692,2677.577,4063.942
,,,,,,,,,,Sep,859.673,1144.218,1241.945,2294.545,1964.036,3002.091,1434.491
,,,,,,,,,,Oct,1022.400,1243.982,1272.173,2207.118,1838.473,2996.346,1337.900
,,,,,,,,,,Nov,853.827,1146.121,1301.823,2146.750,2129.991,3030.344,1720.966
,,,,,,,,,,Dec,862.662,1136.288,1269.101,2126.863,2099.574,2991.898,1663.459
,,,,,,,,,2017,Jan,822.298,1100.962,1244.625,2096.856,2014.635,2960.846,1610.577
,,,,,,,,,,Feb,999.000,1222.000,1376.000,2319.000,2229.000,2988.000,1704.000
,,,,,,,,,,Mar,1010.503,1309.860,1565.267,2242.354,2355.150,3041.372,1938.767
,,,,,,,,,,Apr,1090.973,1465.582,1753.637,2417.655,2740.482,3108.300,2281.909
,,,,,,,,,,May,2934.029,3220.213,3483.430,3939.316,2981.736,2773.533,2472.853
,,,,,,,,,,Jun,1493.962,1897.750,2168.385,2802.404,2924.635,2968.096,2334.635
,,,,,,,,,,Jul,2742.000,3043.000,3214.000,3888.000,3576.000,2901.000,2830.000
,,,,,,,,,,Sep,3962.607,3437.500,3881.357,3938.107,3358.500,2935.000,2584.357
,,,,,,,,,,Oct,862.250,1115.404,1232.731,2463.962,2283.058,3053.577,1704.462
,,,,,,,,,,Nov,975.562,1225.410,1360.890,2443.135,2323.924,3008.818,1719.090
,,,,,,,,,,Dec,1059.000,1271.000,1296.000,2174.000,1934.500,2953.500,1440.500
,,,,,,,,,2018,Jan,726.019,985.654,1057.231,2236.865,2014.327,2991.962,1459.327
,,,,,,,,,,Feb,855.500,1121.500,1255.500,2109.000,2055.000,3001.500,1635.000
,,,,,,,,,,Mar,918.555,1164.937,1360.918,2025.746,2089.291,3035.309,1682.346
,,,,,,,,,,Apr,1120.788,1463.645,1723.856,2444.414,2537.808,3103.654,2073.683
,,,,,,,,,,May,1210.714,1634.286,2019.571,2703.143,3150.357,3118.929,2618.857
,,,,,,,,,,Sep,1015.945,1401.818,1517.455,2202.018,2032.800,3055.091,1625.964
,,,,,,,,,,Oct,1009.904,1308.221,1500.769,2289.923,2381.433,3053.760,1957.943
,,,,,,,,,,Nov,1065.000,1324.000,1492.000,2185.000,2370.000,3024.000,1990.000
,,,,,,,,,,Dec,1306.866,1516.193,1621.231,2286.241,2045.568,2872.000,1670.808
,,,,,,,,,2019,Jan,886.296,1187.390,1344.374,2072.727,2098.108,2978.720,1727.940
,,,,,,,,,,Feb,1702.595,1906.774,2078.104,2678.708,2704.066,2950.774,2296.415
,,,,,,,,,,Mar,1064.706,1379.757,1656.950,2327.727,2558.837,3043.276,2128.572
,,,,,,,,,,Apr,1096.794,1463.344,1686.755,2429.768,2487.605,3092.533,2067.346
,,,,,,,,,,May,1176.662,1565.019,1788.129,2557.904,2570.314,3086.979,2113.543
,,,,,,,,,,Jun,4334.600,4450.200,4614.800,4892.400,2502.800,2413.800,2160.800
,,,,,,,,,,Aug,845.000,1198.000,1149.000,2494.000,1647.000,2949.000,1048.000
,,,,,,,,,,Oct,938.308,1203.212,1281.346,2365.962,2072.519,3018.962,1499.558
,,,,,,,,,,Nov,1004.286,1244.143,1337.071,2392.786,2361.214,3018.857,1863.071
,,,,,,,,,,Dec,1072.500,1319.500,1346.000,2361.500,1959.000,2929.500,1447.000
