Quarters,(All),,,,,,,,,,,,,,,,
Years,2019,,,,,,,,,,,,,,,,
,,,,,,,,,,Row Labels,Average of B1,Average of B2,Average of B3,Average of B4,Average of B5,Average of B6,Average of B7
,,,,,,,,,,May,869.600,1188.250,1517.274,2067.020,2394.700,3155.124,1858.171
,,,,,,,,,,Jun,1026.474,1356.313,1713.412,2267.943,2639.716,3160.156,2066.900
,,,,,,,,,,Jul,1198.694,1439.371,1597.790,2305.559,1884.108,3009.821,1328.649
,,,,,,,,,,Sep,658.348,905.869,942.584,1930.010,1519.734,3023.144,986.912
,,,,,,,,,,Oct,669.127,890.326,973.118,2048.509,1716.988,3051.633,1154.175
,,,,,,,,,,Nov,956.725,1118.968,1233.787,2192.328,1940.686,3027.281,1343.448
,,,,,,,,,,Dec,721.715,913.819,1046.201,1998.181,1783.345,2987.646,1226.324
,,,,,,,,,2016,Jan,676.907,853.404,956.015,1986.149,1617.458,3000.064,1107.269
,,,,,,,,,,Feb,1164.127,1362.103,1509.811,2408.305,2085.870,2979.161,1561.534
,,,,,,,,,,Mar,793.859,1094.449,1402.712,2130.129,2222.697,3115.468,1682.349
,,,,,,,,,,Apr,823.259,1138.147,1450.671,2164.725,2262.379,3141.349,1732.756
,,,,,,,,,,May,1266.814,1550.581,1871.689,2347.761,2347.130,3009.139,1828.572
,,,,,,,,,,Jun,1536.725,1810.310,2127.186,2572.566,2717.622,2929.251,2084.403
,,,,,,,,,,Aug,2136.063,2307.748,2282.764,3506.378,2094.047,2639.480,1510.575
,,,,,,,,,,Sep,1409.734,1567.208,1592.317,2923.884,2238.762,2957.523,1540.537
,,,,,,,,,,Oct,1412.084,1527.798,1740.808,2697.161,2302.950,3029.146,1633.077
,,,,,,,,,,Nov,714.601,916.729,1055.153,2078.994,1964.557,3070.014,1391.247
,,,,,,,,,,Dec,719.681,912.784,1085.076,1961.950,1935.998,3034.851,1369.590
,,,,,,,,,2017,Jan,858.652,1024.193,1214.792,1884.012,1865.978,2998.686,1355.204
