Quarters,(All),,,,,,,,,,,,,,,,
,,,,,,,,,,Row Labels,Average of B1,Average of B2,Average of B3,Average of B4,Average of B5,Average of B6,Average of B7
,,,,,,,,,,May,945.572,1209.706,1413.8145,2768.454,2500.5585,3057.999,1826.4445
,,,,,,,,,,Sep,806.678,956.436,876.703,2682.901,1566.99,2954.401,851.639
,,,,,,,,,,Oct,676.616,866.47,879.475,2328.167,1687.525,3024.111,1097.833
,,,,,,,,,,Nov,688.6225,832.3265,878.623,2364.932,1778.98,3002.87,1164.355
,,,,,,,,,,Dec,592.2145,733.6575,787.4795,2195.7615,1628.9345,2963.909,1076.451
,,,,,,,,,2016,Jan,659.9855,805.7395,899.696,2116.0175,1788.091,2977.2025,1265.1045
,,,,,,,,,,Feb,2196.841,2302.139,2384.1205,3368.152,2093.4935,2671.345,1657.714
,,,,,,,,,,Mar,640.3035,851.821,956.739,2383.124,1905.02,3048.1265,1329.251
,,,,,,,,,,Apr,758.68,1020.69,1233.66,2684.43,2350.44,3091.81,1748.65
,,,,,,,,,,May,816.46,1040.929,1197.242,2680.03,2133.5,3030.818,1452.162
,,,,,,,,,,Oct,515.97,666.75,694.245,2348.25,1621.675,3009.83,975.8
,,,,,,,,,,Nov,662.08,799.734,859.124,2224.854,1849.375,3005.1175,1209.486
,,,,,,,,,,Dec,563.9155,705.2955,771.0015,2097.931,1700.868,2979.54,1123.864
,,,,,,,,,2017,Jan,738.751,830.2175,852.549,1945.4065,1450.329,2953.4655,969.057
,,,,,,,,,,Feb,558.646,731.707,792.988,2031.015,1504.893,2986.6465,1024.193
,,,,,,,,,,Mar,686.1655,882.944,983.9145,2246.2885,1821.643,3044.8175,1290.5645
,,,,,,,,,,Apr,687.617,925.5705,1043.647,2477.634,1937.0115,3091.312,1373.3025
,,,,,,,,,,May,999.065,1249.328,1386.771,2756.99,2359.363,3039.955,1659.418
,,,,,,,,,,Jun,3651.373,2929.164,4120.617,3224.97,3119.786,2995.945,2363.532
,,,,,,,,,,Sep,1407.503,1550.171,1505.06,2962.92,2069.653,2914.05,1462.884
,,,,,,,,,,Oct,627.9165,788.9975,773.3865,2453.7005,1605.3145,3010.126,944.7905
,,,,,,,,,,Nov,696.178,846.4165,892.443,2369.8135,1769.538,2999.1895,1194.9115
,,,,,,,,,,Dec,1122.9845,1182.4575,1186.618,2539.3025,1716.9945,2948.305,1108.7
,,,,,,,,,2018,Jan,724.4995,832.5995,873.8305,2143.2245,1600.8065,2949.2895,1067.3335
,,,,,,,,,,Feb,633.059,798.827,820.545,2176.114,1541.059,2995.525,972.292
,,,,,,,,,,Mar,678.74,865.542,960.4615,2338.328,1877.19,3046.8865,1285.71
,,,,,,,,,,Apr,853.199,1077.134,1234.189,2861.652,2305.687,3041.761,1653.075
,,,,,,,,,,May,758.56,1019.6705,1156.827,2591.942,2126.457,3084.5025,1494.6905
,,,,,,,,,,Jun,1084.894,1404.551,1619.697,2593.965,2517.399,3011.202,1799.212
,,,,,,,,,,Oct,669.738,826.936,834.2505,2420.055,1649.094,3015.1795,1051.4285
