system:time_start,B1,B2,B3,B4,B5,B6,B7
"Oct 16, 2015","1,011.724","1,290.345","1,457.483","2,355.483","2,251.931","3,064.276","1,826.586"
"Nov 1, 2015","1,013.69","1,200.207","1,422.655","2,301.207","2,249.103","3,038.897","1,871.172"
"Nov 17, 2015",890.583,"1,117.292","1,235.042","2,193.042","2,019","3,029.542","1,572.083"
"Dec 3, 2015",987.31,"1,149.379","1,371.172","1,952.379","2,016.793","3,007.828","1,743.483"
"Jan 4, 2016",883.917,"1,066","1,299.75","2,044.375","2,110","3,003.958","1,757.792"
"Jan 20, 2016","1,125.714","1,357.464","1,529.321","1,989.821","2,029.929","2,972.393","1,773.679"
"Feb 5, 2016","1,046.552","1,265.517","1,554.103","2,070.69","2,213.31","2,999.897","1,968.724"
"Feb 21, 2016","2,079","2,255","2,385","3,121","2,452","2,745","2,053"
"Mar 8, 2016",924.154,"1,173.962","1,409.538","1,976.423","2,039.808","3,051.269","1,775.308"
"Mar 24, 2016",927.042,"1,222","1,417.792","2,261.833","2,250.75","3,106.375","1,866.833"
"Apr 9, 2016","1,009","1,306","1,583","2,195","2,237","3,100","1,950"
"Apr 25, 2016","1,615.6","1,823","1,975","2,639.8","1,824.8","2,809.4","1,431.4"
"May 11, 2016","1,035","1,309","1,590","2,449","2,412","3,065","1,959"
"May 27, 2016","8,347.897","7,611.759","8,758.172","5,624.241","4,496.069","2,959.345","3,417.759"
"Oct 18, 2016","1,030","1,227","1,428","2,216","2,135","3,042","1,799"
"Nov 3, 2016","1,007","1,253","1,373","2,006","1,938","3,038","1,697"
"Nov 19, 2016","1,038.207","1,238.793","1,475.793","2,146.862","2,109.379","3,005.724","1,837.414"
"Dec 5, 2016",956,"1,197","1,331","1,763","1,769","3,009","1,567"
"Dec 21, 2016",927.2,"1,114.4","1,344.2","1,889","1,963","2,999","1,718.8"
"Jan 6, 2017","1,092.138","1,324.759","1,500.207","1,912.414","1,992.414","2,978.448","1,738.414"
"Jan 22, 2017",972,"1,067","1,210","1,846","1,755","2,976","1,453"
"Feb 7, 2017","1,013","1,308","1,551","1,908","2,090","3,007","1,893"
"Feb 23, 2017",922,"1,111","1,294","1,810","1,825","3,022","1,577"
"Mar 11, 2017","1,052.75","1,304.429","1,570.536","2,341.214","2,343.643","3,044.214","2,011.214"
"Mar 27, 2017",900.792,"1,134.417","1,370.583","2,261.542","2,243.583","3,121.375","1,836.167"
"Apr 12, 2017","1,042.208","1,381.333","1,636.667","2,376.792","2,457.083","3,155","2,110.417"
"Apr 28, 2017","1,250.138","1,552.931","1,907.172","2,486.862","2,645.759","3,131.966","2,358.586"
"May 14, 2017","1,283.077","1,620.269","1,912.654","2,634.654","2,801.654","3,057.577","2,461.154"
"May 30, 2017","2,115","2,174","2,350","2,937","2,721","2,958","2,246"
"Jun 15, 2017","1,579.483","1,946.172","2,230.931","2,855","2,895.448","3,029.207","2,387.517"
"Sep 19, 2017","2,259.4","2,383.4","2,352","3,624.6","2,801.2","2,850.8","2,243.8"
"Oct 5, 2017",942,"1,147","1,321","2,060","1,946","3,051","1,620"
"Oct 21, 2017","1,016.4","1,250","1,355.4","2,127.8","2,006.4","3,023","1,652.4"
"Nov 6, 2017",945,"1,133","1,331","1,959","2,002","3,045","1,719"
"Nov 22, 2017",971.792,"1,180.167","1,285.083","2,061.75","1,920.833","3,005","1,566.583"
"Dec 8, 2017","1,481.893","1,451.107","1,513.464","2,154.857","2,011.393","2,942.25","1,631.857"
"Dec 24, 2017",906.875,"1,109.208","1,215.542","1,819.958","1,761.833","2,979.125","1,478.792"
"Jan 9, 2018","1,105.517","1,188.31","1,369.069","1,941.793","1,932.034","2,965.517","1,695.724"
"Jan 25, 2018",931.75,"1,189.458","1,345.333","1,788.167","1,807.875","2,980.875","1,584.25"
"Feb 10, 2018","1,010","1,131","1,307","1,847","1,842","2,980","1,580"
"Feb 26, 2018","1,044.828","1,255.793","1,513.621","2,129.586","2,234.897","3,038.207","1,965.103"
"Mar 14, 2018",967,"1,164","1,419","2,020","2,172","3,059","1,980"
"Mar 30, 2018","1,029.333","1,290.833","1,530.208","2,154.708","2,165.792","3,097.917","1,894.958"
"Apr 15, 2018","1,162","1,436","1,752","2,332","2,491","3,100","2,212"
"May 1, 2018","1,261","1,638.2","1,920.2","2,512","2,589.8","3,108.4","2,240"
"May 17, 2018","1,287.8","1,588.4","1,916.6","2,631.6","2,672.6","3,139.4","2,340"
"Jun 2, 2018","1,445","1,815","2,072","2,679","2,643","3,018","2,136"
"Jun 18, 2018","4,005","2,917","4,201","3,873","3,454","2,963","2,780"
"Oct 8, 2018","5,037.478","5,095.348","5,104.478","5,775","2,249.652","2,330.565","2,025.87"
"Oct 24, 2018","1,063","1,275","1,516","2,055","2,149","3,054","1,865"
"Nov 9, 2018","1,114.435","1,386.913","1,572.043","2,241.174","2,227.913","3,038.609","1,921.652"
"Nov 25, 2018",998.375,"1,147.208","1,337.542","1,901.292","1,924.875","3,014.875","1,657.208"
"Dec 11, 2018",953,"1,159","1,246","1,873","1,719","2,971","1,417"
"Dec 27, 2018",931.429,"1,099.429","1,307.893","1,785.5","1,865.786","2,960.107","1,638.607"
"Jan 12, 2019","1,063.333","1,308","1,491.667","1,876.667","1,966.333","2,966.667","1,724.833"
"Jan 28, 2019","1,008","1,183","1,418","1,802","1,934","2,956","1,740"
"Feb 13, 2019","2,852","2,935","3,035","3,643","3,069","2,908","2,424"
