Quarters,(All),,,,,,,,,,,,,,,,
Years,2019,,,,,,,,,,,,,,,,
,,,,,,,,,,Row Labels,Average of B1,Average of B2,Average of B3,Average of B4,Average of B5,Average of B6,Average of B7
,,,,,,,,,,Apr,10546.000,10184.000,10784.000,4360.209,2511.875,2793.459,2319.167
,,,,,,,,,,May,1396.456,1710.519,2021.511,2373.736,2572.617,3070.504,2240.053
,,,,,,,,,,Oct,1068.442,1269.115,1420.481,1817.288,1742.558,3042.462,1508.019
,,,,,,,,,,Nov,1053.698,1202.844,1323.271,1675.615,1693.229,3023.604,1498.667
,,,,,,,,,,Dec,891.938,1031.605,1166.865,1452.584,1545.500,3005.365,1379.521
,,,,,,,,,2017,Jan,1041.709,1125.500,1231.209,1454.625,1468.542,2972.042,1279.125
,,,,,,,,,,Feb,882.000,1053.417,1205.417,1465.875,1594.625,3010.959,1433.500
,,,,,,,,,,Mar,1003.466,1197.194,1400.362,1783.110,1880.825,3071.131,1689.267
,,,,,,,,,,Apr,1021.226,1274.864,1424.143,1781.647,1833.629,3121.159,1624.747
,,,,,,,,,,May,2170.664,2400.664,2615.231,3059.212,2987.164,2949.327,2489.875
,,,,,,,,,,Jun,1740.000,1983.000,2126.000,2535.000,2451.000,3001.000,1957.000
,,,,,,,,,,Sep,2089.417,2216.500,2230.333,3020.583,2199.750,2677.083,1721.000
,,,,,,,,,,Oct,1110.011,1286.292,1424.302,1869.729,1881.979,3045.969,1617.927
,,,,,,,,,,Nov,1054.724,1207.042,1312.245,1630.286,1681.474,3015.249,1476.747
,,,,,,,,,,Dec,1321.739,1338.698,1408.009,1649.158,1549.491,2952.746,1292.656
,,,,,,,,,2018,Jan,1007.136,1110.354,1221.844,1487.479,1491.073,2972.938,1304.792
,,,,,,,,,,Feb,1186.000,1267.500,1420.500,1754.500,1743.500,2984.000,1528.500
,,,,,,,,,,Mar,1030.719,1213.306,1432.743,1827.906,1943.901,3078.839,1760.849
,,,,,,,,,,Apr,1035.000,1259.000,1465.000,1835.000,1930.000,3085.000,1712.000
,,,,,,,,,,May,1230.083,1514.500,1774.084,2145.959,2290.917,3122.167,2050.208
,,,,,,,,,,Jun,1846.167,2034.667,2380.542,2644.917,2610.958,3004.958,2142.625
,,,,,,,,,,Oct,3054.029,3184.769,3283.471,3850.952,2228.087,2698.327,1970.125
,,,,,,,,,,Nov,1029.193,1186.923,1296.462,1590.000,1606.154,3027.769,1415.846
,,,,,,,,,,Dec,890.180,1010.614,1084.451,1286.435,1210.198,2961.229,1044.431
,,,,,,,,,2019,Jan,935.491,1100.741,1226.683,1470.702,1497.587,2952.414,1334.808
,,,,,,,,,,Feb,2645.958,2737.667,2902.438,3316.750,3260.750,2923.313,2772.896
,,,,,,,,,,Mar,926.000,1131.500,1301.000,1591.000,1624.500,3015.500,1438.500
,,,,,,,,,,Apr,1107.113,1358.683,1544.261,1837.715,1918.745,3059.489,1688.364
,,,,,,,,,,May,1200.499,1488.895,1732.816,2072.045,2218.955,3074.282,1931.795
,,,,,,,,,,Jun,1140.423,1393.712,1624.596,2055.538,2039.019,3070.096,1752.404
,,,,,,,,,,Aug,1965.000,2117.000,2156.000,2621.000,2390.000,2970.000,1872.000
,,,,,,,,,,Sep,1377.788,1584.635,1659.288,2116.558,2025.750,2938.596,1538.962
,,,,,,,,,,Oct,1009.000,1131.000,1275.000,1812.000,1834.000,3031.000,1539.000
,,,,,,,,,,Nov,1207.000,1279.500,1304.500,1622.500,1436.000,2993.500,1168.000
,,,,,,,,,,Dec,1004.101,1164.762,1228.694,1515.497,1521.917,2950.413,1308.126
