Quarters,(All),,,,,,,,,,,,,,,,
Years,2019,,,,,,,,,,,,,,,,
,,,,,,,,,,Row Labels,Average of B1,Average of B2,Average of B3,Average of B4,Average of B5,Average of B6,Average of B7
,,,,,,,,,2016,Jan,903.232,1139.267,1282.902,1821.116,1713.777,2993.920,1288.347
,,,,,,,,,,Feb,909.955,1188.008,1351.371,1650.129,1491.492,3009.697,1167.561
,,,,,,,,,,Mar,866.447,1209.469,1468.002,2002.459,1933.627,3093.027,1526.744
,,,,,,,,,,Apr,911.333,1293.714,1609.714,2168.492,2171.270,3159.762,1733.794
,,,,,,,,,,May,1077.290,1447.353,1782.825,2329.013,2333.604,3140.268,1839.617
,,,,,,,,,,Jun,2078.646,2283.446,2498.215,2826.046,2536.754,2869.231,1905.277
,,,,,,,,,,Sep,769.586,1035.282,994.946,2571.251,1521.172,2954.821,858.281
,,,,,,,,,,Oct,1488.606,1674.806,1675.210,2799.237,2190.998,2987.761,1525.708
,,,,,,,,,,Nov,775.991,1024.515,1181.747,1916.198,1816.206,3055.182,1333.544
,,,,,,,,,,Dec,849.875,1112.954,1360.274,2008.065,2078.349,3028.372,1546.605
,,,,,,,,,2017,Jan,793.980,1022.710,1259.894,1825.294,1844.094,3012.710,1427.947
,,,,,,,,,,Feb,1009.636,1152.788,1413.818,1898.182,1979.545,3032.030,1542.121
,,,,,,,,,,Mar,913.431,1175.300,1531.254,2226.639,2404.977,3102.546,1885.469
,,,,,,,,,,Apr,973.227,1338.571,1719.149,2218.500,2394.602,3176.016,1944.039
,,,,,,,,,,May,1281.680,1560.693,1946.048,2333.804,2444.042,3133.578,1964.684
,,,,,,,,,,Jun,1287.477,1603.677,1930.092,2403.200,2470.169,3014.523,1926.369
,,,,,,,,,,Jul,3249.831,3385.954,3664.292,3946.677,3420.108,2918.338,2586.892
,,,,,,,,,,Aug,3310.338,3538.000,3559.108,4923.754,3834.354,2833.892,2783.708
,,,,,,,,,,Sep,2389.159,2441.680,3011.056,3381.239,2603.911,2948.947,1905.570
,,,,,,,,,,Oct,811.969,1026.169,1118.892,1820.492,1697.138,3048.354,1240.769
,,,,,,,,,,Nov,966.621,1156.076,1255.637,1885.743,1747.697,3010.720,1307.470
,,,,,,,,,,Dec,948.315,1101.150,1137.658,1514.173,1428.167,2970.520,1079.768
,,,,,,,,,2018,Jan,756.062,982.354,1078.800,1421.877,1447.338,3013.215,1124.938
,,,,,,,,,,Feb,816.245,1004.131,1130.766,1560.068,1602.644,3030.443,1276.068
,,,,,,,,,,Mar,850.724,1056.254,1288.877,1776.831,1904.500,3079.554,1547.446
,,,,,,,,,,Apr,973.535,1259.453,1534.105,2043.501,2164.851,3133.954,1745.279
,,,,,,,,,,May,1131.077,1470.692,1788.692,2278.231,2481.923,3150.308,2031.231
,,,,,,,,,,Sep,1816.953,1846.524,2088.891,2951.696,2346.305,3001.860,1652.977
,,,,,,,,,,Oct,891.415,1168.258,1364.339,2034.812,1918.315,3060.359,1399.734
,,,,,,,,,,Nov,837.905,1092.333,1238.222,1792.762,1676.825,3042.714,1217.397
,,,,,,,,,,Dec,1300.147,1505.064,1687.780,2231.264,2032.936,2903.395,1569.377
,,,,,,,,,2019,Jan,869.569,1178.862,1442.477,2008.316,2021.362,3017.985,1560.162
,,,,,,,,,,Feb,1157.078,1336.180,1545.875,2028.945,1898.672,2951.266,1488.235
,,,,,,,,,,Mar,1000.515,1280.725,1645.187,2178.773,2234.471,3069.318,1755.862
,,,,,,,,,,Apr,987.618,1374.071,1764.298,2249.344,2376.280,3164.688,1932.697
,,,,,,,,,,May,1002.304,1381.466,1759.405,2267.247,2378.597,3149.730,1891.596
,,,,,,,,,,Jul,1151.667,1499.841,1653.667,2685.286,1758.032,2989.381,1143.794
,,,,,,,,,,Aug,1158.938,1275.246,1154.708,2338.031,1270.277,2830.385,760.800
,,,,,,,,,,Oct,548.868,666.892,558.624,1239.259,729.690,2968.397,421.004
,,,,,,,,,,Nov,2781.099,2893.490,2927.357,3675.887,2562.683,2638.391,2090.855
,,,,,,,,,,Dec,1290.326,1324.722,1256.738,1561.381,1126.706,2860.548,807.111
