Quarters,(All),,,,,,,,,,,,,,,,
Years,2019,,,,,,,,,,,,,,,,
,,,,,,,,,,Row Labels,Average of B1,Average of B2,Average of B3,Average of B4,Average of B5,Average of B6,Average of B7
,,,,,,,,,,Oct,437.612,449.362,360.760,623.915,315.581,2990.233,194.800
,,,,,,,,,,Nov,496.655,499.119,396.268,514.327,242.431,2966.871,146.574
,,,,,,,,,,Dec,426.608,445.715,328.818,363.342,197.238,2952.432,123.182
,,,,,,,,,2017,Jan,666.350,645.494,530.462,592.588,285.496,2926.949,171.181
,,,,,,,,,,Feb,375.201,389.274,293.574,347.916,218.714,2951.664,148.556
,,,,,,,,,,Mar,483.653,496.360,437.064,513.807,351.405,2985.652,256.902
,,,,,,,,,,Apr,510.513,543.010,503.304,604.920,420.235,3016.652,296.824
,,,,,,,,,,May,4858.795,4386.964,4958.010,4095.946,2973.886,2898.203,2372.826
,,,,,,,,,,Jun,2495.007,2668.788,2804.876,3279.995,3244.754,2932.003,2709.646
,,,,,,,,,,Sep,687.275,705.112,568.450,830.324,366.436,2948.139,219.633
,,,,,,,,,,Oct,508.570,523.157,442.817,710.418,368.236,2987.871,226.184
,,,,,,,,,,Nov,531.336,498.622,409.445,504.893,194.219,2962.828,106.589
,,,,,,,,,,Dec,848.394,773.427,670.908,691.165,273.422,2922.728,142.198
,,,,,,,,,2018,Jan,581.094,576.848,499.587,600.861,324.440,2928.632,205.259
,,,,,,,,,,Feb,618.594,605.530,533.874,604.230,330.752,2950.705,216.752
,,,,,,,,,,Mar,616.670,629.014,580.832,742.753,443.190,2986.176,291.373
,,,,,,,,,,Apr,687.356,739.828,777.231,1084.877,1068.272,2954.847,840.504
,,,,,,,,,,May,733.674,835.608,849.073,1109.508,834.604,3024.600,609.961
,,,,,,,,,,Jun,3579.533,3359.124,3719.750,3080.094,2158.689,2948.193,1586.756
,,,,,,,,,,Oct,2210.563,2238.058,2190.265,2698.590,1488.333,2698.926,1262.242
,,,,,,,,,,Nov,531.004,535.865,453.070,625.447,322.127,2978.223,193.606
,,,,,,,,,,Dec,476.905,539.672,457.248,616.917,379.678,2928.679,243.676
,,,,,,,,,2019,Jan,479.911,607.692,504.109,536.540,355.911,2915.273,237.783
,,,,,,,,,,Feb,8924.596,8050.591,8475.398,6571.566,4953.297,2826.926,2800.066
,,,,,,,,,,Mar,500.871,623.561,577.870,648.335,523.062,2946.318,369.042
,,,,,,,,,,Apr,620.652,727.000,654.344,728.378,551.666,2991.148,387.549
,,,,,,,,,,May,668.764,776.812,747.075,871.680,716.046,2997.509,517.982
,,,,,,,,,,Jun,782.041,872.389,895.777,1180.386,952.405,3006.829,705.041
,,,,,,,,,,Jul,832.224,882.003,712.459,935.995,519.024,2955.764,314.137
,,,,,,,,,,Aug,10326.262,8751.492,9727.074,6471.734,3826.333,2885.537,2714.326
,,,,,,,,,,Sep,491.317,525.012,396.578,700.481,292.956,2911.012,162.433
,,,,,,,,,,Oct,404.324,439.482,343.942,723.286,308.695,2984.954,176.669
,,,,,,,,,,Nov,721.551,701.922,583.469,829.331,305.477,2967.531,156.375
,,,,,,,,,,Dec,471.372,487.066,387.727,522.671,254.250,2927.239,149.126
