Quarters,(All),,,,,,,,,,,,,,,,
Years,2019,,,,,,,,,,,,,,,,
,,,,,,,,,,Row Labels,Average of B1,Average of B2,Average of B3,Average of B4,Average of B5,Average of B6,Average of B7
,,,,,,,,,,Mar,2584.863,2738.308,2862.672,3956.613,3098.136,2717.949,2424.455
,,,,,,,,,,Apr,760.215,1153.292,1259.736,2912.245,2691.980,3105.245,1787.332
,,,,,,,,,,May,1159.013,1565.128,1752.884,3293.735,3088.331,3049.287,2099.430
,,,,,,,,,,Jun,1659.601,2044.433,2389.205,3464.898,3542.484,2971.765,2355.064
,,,,,,,,,,Sep,474.163,644.867,541.376,1229.989,687.373,2971.876,404.142
,,,,,,,,,,Oct,1207.999,1323.133,1258.063,2303.013,1418.942,2955.846,927.688
,,,,,,,,,,Nov,442.096,616.086,507.696,1163.511,516.954,2979.536,286.757
,,,,,,,,,,Dec,525.652,702.781,669.387,1504.523,1144.929,2664.316,730.129
,,,,,,,,,2017,Jan,486.384,699.864,637.746,1457.772,1021.793,2929.433,594.712
,,,,,,,,,,Feb,820.642,981.493,966.207,2044.335,1637.938,2966.324,1021.147
,,,,,,,,,,Mar,658.976,937.077,963.134,2270.927,1963.743,3014.231,1245.821
,,,,,,,,,,Apr,686.257,1013.308,1058.399,2224.664,1945.348,3054.988,1236.859
,,,,,,,,,,May,1041.298,1380.674,1484.060,2534.674,2293.622,3049.226,1547.643
,,,,,,,,,,Jun,1259.829,1617.335,1865.152,3159.994,3178.687,2884.376,2237.873
,,,,,,,,,,Jul,1767.081,1857.703,1905.962,2825.334,2268.362,2943.336,1510.556
,,,,,,,,,,Sep,1006.748,1200.074,1009.468,1746.526,1004.562,2956.673,597.915
,,,,,,,,,,Oct,534.261,709.498,603.549,1600.365,924.263,2986.787,525.019
,,,,,,,,,,Nov,678.122,815.957,719.531,1383.435,818.514,2965.681,466.652
,,,,,,,,,,Dec,830.506,943.713,822.086,1241.978,708.509,2922.536,408.529
,,,,,,,,,2018,Jan,597.145,759.430,660.900,1170.649,618.225,2925.571,335.522
,,,,,,,,,,Feb,613.324,839.263,768.970,1633.934,1136.289,2972.314,675.836
,,,,,,,,,,Mar,624.246,877.925,855.643,2274.408,1808.028,3015.286,1085.649
,,,,,,,,,,Apr,811.592,1130.759,1212.414,2618.131,2378.754,3082.568,1571.491
,,,,,,,,,,May,972.346,1344.922,1564.179,2835.821,2924.043,3115.349,2065.290
,,,,,,,,,,Sep,549.141,817.189,795.434,2343.834,2015.442,3042.759,1199.068
,,,,,,,,,,Oct,669.908,889.419,927.928,2071.675,1947.719,3040.033,1242.719
,,,,,,,,,,Nov,895.007,1112.075,1250.056,2667.190,2765.375,3006.255,1856.764
,,,,,,,,,,Dec,1301.235,1518.928,1679.473,2834.608,2854.539,2911.162,2053.917
,,,,,,,,,2019,Jan,809.451,1113.526,1330.931,2549.636,2737.796,2958.960,1924.739
,,,,,,,,,,Feb,1044.538,1277.410,1456.051,2502.358,2596.829,2726.156,1924.315
,,,,,,,,,,Mar,946.318,1281.936,1631.027,2738.891,3132.729,3025.248,2293.147
,,,,,,,,,,Apr,976.422,1357.166,1754.540,2838.227,3388.925,3123.259,2503.965
,,,,,,,,,,May,1033.253,1419.796,1820.360,2805.412,3335.847,3095.462,2446.213
,,,,,,,,,,Jun,2429.966,2669.461,2944.084,3740.122,2770.240,2760.373,2130.215
,,,,,,,,,,Jul,1518.406,1739.351,1906.675,2920.573,3169.985,2938.480,2247.201
,,,,,,,,,,Aug,870.479,1028.654,924.701,1861.528,1193.055,2920.440,721.520
,,,,,,,,,,Oct,501.650,677.699,550.161,1411.931,729.294,2994.621,425.133
,,,,,,,,,,Nov,940.807,1020.848,845.121,1547.767,847.346,2965.261,481.535
,,,,,,,,,,Dec,721.282,852.339,715.980,1261.600,759.813,2900.501,479.323
