system:time_start,B1,B2,B3,B4,B5,B6,B7,,,Quarters,(All),,,,,,,,,,,,,,,
20-Mar-12,"1,581.58","1,881.06","2,046.72","2,281.40","2,162.13","3,041.95","1,886.71",,,,Nov,726.2413333,858.963,873.844,1067.394,967.452,3015.09,849.2556667,,,,,,,,
29-Mar-12,"1,082.99","1,266.37","1,450.02","1,895.06","1,873.29","3,091.55","1,643.11",,,,Dec,949.9935,1076.41175,1081.123,1223.74325,1106.875,2964.5895,967.71875,,,,,,,,
05-Apr-12,979.527,"1,274.21","1,446.82","1,998.24","2,027.12","3,104.30","1,757.74",,,2012,Jan,937.6166667,1096.328,1120.72,1291.725667,1192.847333,2942.675333,1031.837333,,,,,,,,
14-Apr-12,"1,149.00","1,411.14","1,561.78","2,171.34","2,115.62","3,059.56","1,739.22",,,,Feb,838.62875,1044.56475,1126.409,1364.0135,1346.57225,2964.86275,1204.88875,,,,,,,,
21-Apr-12,867.768,"1,155","1,310.48","2,169.90","2,170.77","3,073.22","1,661.07",,,,Mar,1124.516,1376.976,1509.429,1821.434,1776.04325,3050.891,1552.40175,,,,,,,,
30-Apr-12,"1,061.72","1,271.38","1,489.30","2,200.07","2,204.36","3,135.91","1,825.95",,,,Apr,1014.503,1277.9325,1452.093,2134.8865,2129.46725,3093.24625,1745.9955,,,,,,,,
07-May-12,"1,055.44","1,346.32","1,554.47","2,166.51","2,258.65","3,075.22","1,792.47",,,,May,1068.576,1351.18,1562.608,2087.663,2214.8525,3097.712,1820.142,,,,,,,,
23-May-12,"1,081.71","1,356.05","1,570.75","2,008.82","2,171.05","3,120.21","1,847.82",,,,Jun,2300.660667,2511.196333,2745.616333,3229.641667,3022.955333,2915.496333,2339.743667,,,,,,,,
01-Jun-12,"1,381.29","1,632.16","1,978.87","2,695.22","2,892.35","3,077.80","2,319.18",,,,Jul,4141.855,4155.232,4468.319,5138.353,4965.14,2695.251,4724.855,,,,,,,,
08-Jun-12,"4,053.56","4,301.22","4,552.24","4,980.94","4,234.51","2,668.67","3,199.94",,,,Sep,1275.948,1485.635,1442.305,1850.382,1565.3895,2980.079,1263.671,,,,,,,,
24-Jun-12,"1,467.14","1,600.21","1,705.73","2,012.77","1,942.01","3,000.02","1,500.11",,,,Oct,854.258,1024.488,1007.772,1326.10775,1079.99175,3015.90475,918.16675,,,,,,,,
03-Jul-12,"4,141.86","4,155.23","4,468.32","5,138.35","4,965.14","2,695.25","4,724.86",,,,Nov,901.7496667,1023.828,1007.469667,1293.297667,972.2203333,2989.471333,834.38,,,,,,,,
21-Sep-12,"1,756.66","1,946.79","1,874.30","2,319.89","1,942.55","2,938.73","1,527.58",,,,Dec,788.307,974.892,964.662,1370.5105,1013.4375,2960.3655,869.21575,,,,,,,,
28-Sep-12,795.233,"1,024.49","1,010.31","1,380.88","1,188.23","3,021.43",999.762,,,2013,Jan,790.254,968.053,1001.012333,1327.17,1098.901333,2946.333667,971.2366667,,,,,,,,
07-Oct-12,952.744,"1,031.95","1,016.16","1,377.67","1,021.25","2,991.94",833.345,,,,Feb,852.91125,1014.93925,1033.6525,1317.254,1083.43775,2961.9125,946.88225,,,,,,,,
14-Oct-12,765.37,986.34,994.19,"1,331.47","1,181.86","3,040.43","1,037.83",,,,Mar,780.2543333,966.1523333,1002.696333,1247.441667,1102.046667,3023.883,992.1206667,,,,,,,,
23-Oct-12,968.578,"1,127.73","1,087.64","1,351.00","1,096.38","3,013.24",924.74,,,,Apr,1530.290333,1720.652333,1830.285,2189.678,1771.987667,2916.485667,1546.074,,,,,,,,
30-Oct-12,730.34,951.941,933.098,"1,244.30","1,020.48","3,018.01",876.752,,,,May,949.546,1225.348,1304.329,1605.222,1545.203,3096.522,1385.415,,,,,,,,
08-Nov-12,"1,064.22","1,116.30","1,125.91","1,444.53","1,091.68","2,997.98",929.971,,,,Jun,3182.574,3339.083,3488.279,3785.441,3796.529,2826.569,3332.078,,,,,,,,
15-Nov-12,982.975,"1,158.95","1,143.68","1,428.88","1,105.74","2,990.86",950.772,,,,Sep,1545.4845,1720.5395,1754.069,2085.252,1895.3075,2947.8645,1494.2755,,,,,,,,
24-Nov-12,658.059,796.24,752.819,"1,006.49",719.24,"2,979.58",622.397,,,,Oct,749.6545,891.6395,912.167,1103.6605,1037.1045,3017.979,895.6165,,,,,,,,
01-Dec-12,765.597,983.962,999.855,"1,393.29","1,106.65","2,962.94",971.881,,,,Nov,862.393,989.4755,992.523,1112.0945,993.90325,2972.86625,849.36,,,,,,,,
10-Dec-12,790.405,892.737,913.815,"1,307.76","1,004.94","2,976.36",841.107,,,,Dec,845.219,979.87375,1033.658,1144.07475,1109.32575,2967.7825,985.387,,,,,,,,
17-Dec-12,933.03,"1,120.19","1,093.72","1,451.20","1,058.95","2,949.67",894.772,,,2014,Jan,1499.709,1588.362,1617.34125,1737.1435,1386.857,2865.408,1207.845,,,,,,,,
26-Dec-12,664.196,902.681,851.26,"1,329.79",883.211,"2,952.50",769.103,,,,Feb,755.737,858.2495,862.219,917.131,825.618,2978.6445,722.964,,,,,,,,
02-Jan-13,863.619,"1,060.12","1,127.65","1,419.42","1,314.77","2,960.33","1,193.92",,,,Mar,814.13225,949.783,1033.92375,1167.94775,1139.546,3015.788,1016.18775,,,,,,,,
11-Jan-13,675.93,817.599,828.75,"1,221.80",876.18,"2,936.91",740.116,,,,Apr,911.01875,1112.66075,1211.3135,1372.8595,1388.9385,3065.87625,1230.31975,,,,,,,,
18-Jan-13,831.213,"1,026.44","1,046.63","1,340.29","1,105.76","2,941.77",979.673,,,,May,1052.78,1293.17325,1413.21175,1619.68925,1638.98625,3071.3625,1438.976,,,,,,,,
03-Feb-13,972.922,"1,170.63","1,209.16","1,435.71","1,233.68","2,957.52","1,075.37",,,,Jun,1695.985,1835.6725,2003.4155,2361.9745,2425.9455,2912.346,2124.838,,,,,,,,
12-Feb-13,"1,152.89","1,233.95","1,334.80","1,713.00","1,545.66","2,938.19","1,365.45",,,,Oct,1427.927,1527.076,1556.1275,1846.5795,1680.735,2950.995,1500.9495,,,,,,,,
19-Feb-13,642.364,807.242,795.485,"1,006.36",769.788,"2,958.58",637.364,,,,Nov,1017.062,1091.66875,1109.53825,1319.27925,1138.18375,2959.8135,967.57,,,,,,,,
28-Feb-13,643.468,847.937,795.171,"1,113.95",784.624,"2,993.36",709.346,,,,Dec,789.7296667,927.4216667,956.8833333,1116.552667,1066.586333,2963.245667,957.5313333,,,,,,,,
07-Mar-13,737.725,970.42,996.652,"1,312.06","1,104.97","3,036.68","1,017.88",,,2015,848.4206667,975.6596667,1007.457,1143.563667,1062.265333,2940.649,928.364,,,,,,,,,
16-Mar-13,863.177,966.532,"1,023.67","1,236.22","1,089.81","3,004.44",959.394,,,,875.2555,1039.29625,1113.17225,1327.0505,1345.53575,2996.04325,1203.9025,,,,,,,,,
23-Mar-13,739.861,961.505,987.767,"1,194.05","1,111.36","3,030.53",999.084,,,,684.6593333,765.3496667,777.6493333,920.6383333,820.9006667,2986.755333,703.888,,,,,,,,,
01-Apr-13,861.847,"1,102.98","1,158.90","1,422.49","1,373.17","3,065.75","1,255.84",,,,974.728,1172.3265,1252.296,1447.796,1399.93825,3035.55,1214.23525,,,,,,,,,
08-Apr-13,"2,605.28","2,773.55","2,914.70","3,378.91","2,282.05","2,651.83","1,965.08",,,,1003.32,1228.289,1318.444,1530.891333,1469.741,3066.407,1279.170667,,,,,,,,,
17-Apr-13,"1,123.75","1,285.43","1,417.26","1,767.63","1,660.75","3,031.88","1,417.30",,,,1110.372,1422.366,1580.927,1849.848,1883.628,3107.256,1706.549,,,,,,,,,
03-May-13,949.546,"1,225.35","1,304.33","1,605.22","1,545.20","3,096.52","1,385.42",,,,1879.436,2093.256,2162.509,2554.4285,2217.6605,2956.3855,1745.9265,,,,,,,,,
04-Jun-13,"3,182.57","3,339.08","3,488.28","3,785.44","3,796.53","2,826.57","3,332.08",,,,833.166,1033.631,1071.900667,1391.142333,1274.448,3050.270333,1092.166,,,,,,,,,
08-Sep-13,"1,948.42","2,102.98","2,151.89","2,422.84","2,233.82","2,948.28","1,734.26",,,,996.6483333,1140.056333,1169.509333,1394.74,1190.663667,3009.555,1019.864667,,,,,,,,,
15-Sep-13,"1,142.55","1,338.10","1,356.25","1,747.67","1,556.79","2,947.45","1,254.29",,,,868.3395,1062.94425,1160.63425,1432.5885,1283.0135,2957.967,1097.4325,,,,,,,,,
17-Oct-13,719.263,911.253,928.437,"1,104.53","1,076.17","3,033.43",944.047,,,2016,Jan,961.03475,1142.45575,1290.077,1622.6475,1665.399,2990.982,1470.21925,,,,,,,,
26-Oct-13,780.046,872.026,895.897,"1,102.79",998.041,"3,002.53",847.186,,,,Feb,1064.255,1294.80625,1512,1943.06325,2109.56325,3025.50725,1892.29725,,,,,,,,
02-Nov-13,773.11,941.78,951.61,"1,121.76","1,082.50","3,023.01",945.75,,,,Mar,1218.5725,1484.26725,1706.79025,2283.483,2339.66775,3064.41175,2058.50825,,,,,,,,
11-Nov-13,925.56,"1,059.93","1,060.12","1,257.70","1,156.61","2,985.44",983.406,,,,Apr,961.0145,1216.5405,1395.6275,1850.2785,1865.174,3111.485,1627.983,,,,,,,,
18-Nov-13,840.502,978.024,951.488,975.845,804.889,"2,964.48",684.952,,,,May,1181.620667,1476.958667,1738.885667,2232.531,2388.863,3121.270333,2086.019,,,,,,,,
27-Nov-13,910.4,978.166,"1,006.87","1,093.07",931.61,"2,918.54",783.332,,,,Jun,7303.952,4578.469,6663.876,5121.455,4202.179,2679.566,3112.372,,,,,,,,
04-Dec-13,849.112,"1,024.95","1,080.80","1,186.91","1,207.41","2,990.10","1,092.78",,,,Sep,905.396,1120.928,1170.377,1582.763,1431.903,2986.816,1173.961,,,,,,,,
13-Dec-13,806.267,983.956,"1,046.18","1,213.52","1,239.60","2,999.37","1,125.45",,,,Oct,1470.51,1569.668667,1592.703667,1875.864667,1602.807333,2972.787,1319.391333,,,,,,,,
20-Dec-13,705.049,899.672,931.005,965.623,856.074,"2,952.86",744.588,,,,Nov,772.466,906.03,960.66925,1209.71625,1153.176,3022.4385,1039.23875,,,,,,,,
29-Dec-13,"1,020.45","1,010.92","1,076.64","1,210.24","1,134.21","2,928.80",978.731,,,,Dec,808.272,984.0755,1079.84325,1308.45875,1350.18275,2999.915,1234.4595,,,,,,,,
05-Jan-14,752.152,889.091,926.061,"1,041.33","1,040.61","2,954.36",935.242,,,2017,Jan,918.862,1027.74125,1092.3255,1252.24275,1199.112,2958.44475,1049.27825,,,,,,,,
14-Jan-14,"1,148.18","1,260.26","1,303.44","1,390.75","1,394","2,949.80","1,254.08",,,,Feb,779.2396667,899.0826667,952.4163333,1100.23,1021.784,2986.969,892.3363333,,,,,,,,
21-Jan-14,"3,482.85","3,481.70","3,494.44","3,634.72","2,327.75","2,599.83","1,975.99",,,,Mar,751.91675,919.742,1016.106,1238.88975,1205.8695,3032.44775,1080.8255,,,,,,,,
30-Jan-14,615.651,722.398,745.422,881.771,785.072,"2,957.64",666.072,,,,Apr,828.917,1045.20025,1140.94625,1402.14375,1364.79575,3079.257,1212.4935,,,,,,,,
06-Feb-14,672.596,778.938,791.487,846.886,768.026,"2,984.94",692.767,,,,May,1047.452,1312.905,1431.129,1651.072,1597.842667,3066.715667,1392.825,,,,,,,,
22-Feb-14,838.878,937.561,932.951,987.376,883.21,"2,972.35",753.161,,,,Jun,2234.0115,2335.601,2778.9225,2850.8885,2819.9295,2972.7005,2320.3125,,,,,,,,
03-Mar-14,819.282,908.441,"1,020.81","1,277.65","1,219.04","2,969.64","1,085.10",,,,Jul,1881.291,2141.228,2240.114,2707.304,2525.829,2952.013,2104.361,,,,,,,,
10-Mar-14,900.609,999.366,"1,068.56","1,181.43","1,158.64","3,011.48","1,027.12",,,,Sep,1291.913333,1443.359333,1436.816,1788.601333,1446.682667,2950.119333,1150.436,,,,,,,,
19-Mar-14,820.114,984.811,"1,079.31","1,210.10","1,200.52","3,040.93","1,079.32",,,,Oct,816.7183333,956.4313333,994.388,1307.648667,1139.341667,3037.604667,964.5673333,,,,,,,,
26-Mar-14,716.524,906.514,967.011,"1,002.62",979.978,"3,041.10",873.205,,,,Nov,859.59525,995.58025,1010.2405,1209.11425,986.904,2994.368,822.001,,,,,,,,
04-Apr-14,810.319,947.922,"1,038.20","1,136.27","1,090.27","3,065.53",974.338,,,,Dec,1145.446,1187.30225,1157.35775,1228.0165,852.81375,2899.05825,661.58,,,,,,,,
11-Apr-14,790.851,"1,012.25","1,082.14","1,188.45","1,186.81","3,059.96","1,068.25",,,2018,Jan,798.7103333,884.686,891.2753333,1018.715667,859.443,2954.15,729.995,,,,,,,,
