Quarters,(All),,,,,,,,,,,,,,,,
Years,2019,,,,,,,,,,,,,,,,
,,,,,,,,,,Row Labels,Average of B1,Average of B2,Average of B3,Average of B4,Average of B5,Average of B6,Average of B7
,,,,,,,,,,Jun,1180.694,1514.574,1684.116,2334.222,2248.889,3109.005,1939.454
,,,,,,,,,,Sep,1275.216,1500.320,1508.262,2210.200,1727.886,2974.454,1310.660
,,,,,,,,,,Oct,928.778,1171.619,1224.185,1854.159,1568.960,3047.741,1285.365
,,,,,,,,,,Nov,1068.100,1225.745,1285.931,1797.098,1608.937,3014.502,1344.699
,,,,,,,,,,Dec,845.788,1009.596,1065.828,1486.561,1308.908,2955.509,1098.282
,,,,,,,,,2016,Jan,819.226,955.672,1007.078,1420.942,1252.303,2962.666,1031.581
,,,,,,,,,,Feb,997.666,1190.962,1293.263,1734.536,1585.729,2965.848,1376.816
,,,,,,,,,,Mar,1023.847,1263.174,1308.915,2006.951,1505.062,2991.374,1267.266
,,,,,,,,,,Apr,892.282,1162.724,1249.014,2081.957,1624.205,3074.127,1349.784
,,,,,,,,,,May,1146.373,1418.505,1564.554,2230.765,1931.937,3056.042,1624.133
,,,,,,,,,,Jun,3682.662,3890.139,4068.273,4419.843,3707.167,2687.514,2801.102
,,,,,,,,,,Sep,1080.456,1356.012,1473.213,2260.487,1944.656,2991.987,1484.756
,,,,,,,,,,Oct,1236.017,1359.159,1358.295,2112.200,1502.158,2966.269,1138.084
,,,,,,,,,,Nov,856.895,1024.221,1078.088,1760.274,1396.854,3013.309,1166.540
,,,,,,,,,,Dec,740.926,899.003,927.988,1600.706,1170.368,2974.383,952.096
,,,,,,,,,2017,Jan,1018.633,1145.087,1232.933,1710.517,1515.851,2955.002,1269.954
,,,,,,,,,,Feb,941.523,1109.253,1228.341,1786.289,1612.710,2996.026,1368.399
,,,,,,,,,,Mar,905.564,1129.060,1240.252,1886.289,1623.973,3041.697,1368.161
,,,,,,,,,,Apr,937.646,1204.351,1298.115,2043.493,1676.766,3074.981,1422.718
,,,,,,,,,,May,1148.117,1451.348,1589.577,2326.414,1999.260,3072.482,1678.527
,,,,,,,,,,Jun,3574.030,3024.745,4135.958,3532.356,3400.910,2952.549,2742.463
,,,,,,,,,,Jul,1814.446,2046.730,2064.743,2669.865,2158.736,2943.574,1573.149
,,,,,,,,,,Sep,1675.657,1854.061,1894.362,2501.892,2070.098,2925.940,1595.774
,,,,,,,,,,Oct,877.378,1066.336,1119.889,1779.898,1515.666,3040.874,1219.995
,,,,,,,,,,Nov,924.057,1073.457,1096.252,1585.209,1273.005,2997.901,1036.062
,,,,,,,,,,Dec,1122.736,1197.555,1200.567,1544.125,1170.345,2931.176,910.988
,,,,,,,,,2018,Jan,899.171,1013.230,1049.361,1482.457,1286.399,2962.356,1057.822
,,,,,,,,,,Feb,865.892,1055.226,1106.134,1563.237,1322.979,2997.675,1127.901
,,,,,,,,,,Mar,865.117,1078.033,1163.416,1798.383,1529.296,3042.222,1292.586
,,,,,,,,,,Apr,1234.852,1476.058,1644.648,2248.476,2129.385,3009.818,1854.637
,,,,,,,,,,May,1032.827,1335.110,1398.546,1965.317,1688.121,3081.448,1407.353
,,,,,,,,,,Jun,1183.665,1505.968,1575.349,2060.917,1764.248,3017.894,1395.904
,,,,,,,,,,Sep,799.876,1051.553,1063.332,1752.500,1382.142,3031.128,1091.690
,,,,,,,,,,Oct,963.134,1174.027,1259.152,1844.168,1634.350,3040.624,1333.016
,,,,,,,,,,Nov,971.793,1098.824,1101.317,1495.730,1219.138,3000.650,981.444
,,,,,,,,,,Dec,1424.025,1543.591,1581.718,1966.130,1677.444,2872.650,1434.088
,,,,,,,,,2019,Jan,798.778,944.649,978.750,1362.224,1182.681,2941.678,979.493
,,,,,,,,,,Feb,1286.545,1393.998,1417.694,1689.915,1469.546,2933.659,1205.692
,,,,,,,,,,Mar,897.775,1081.292,1196.548,1644.116,1538.908,3004.896,1293.102
,,,,,,,,,,Apr,885.290,1134.901,1222.781,1879.970,1650.858,3070.037,1365.154
,,,,,,,,,,May,1014.335,1294.944,1383.770,1971.155,1719.411,3050.233,1412.494
,,,,,,,,,,Jun,9364.587,3233.184,3337.250,3899.684,2030.042,2704.821,1733.087
,,,,,,,,,,Jul,1366.930,1546.380,1471.465,2260.596,1537.160,2952.897,1087.577
,,,,,,,,,,Aug,1844.916,1900.464,2042.952,2531.969,2021.130,2915.609,1510.309
,,,,,,,,,,Oct,834.724,1027.306,1043.512,1873.062,1430.836,3029.248,1101.953
,,,,,,,,,,Nov,1141.644,1226.847,1166.689,1664.367,1151.286,2983.205,833.048
,,,,,,,,,,Dec,1063.206,1194.522,1160.808,1639.987,1289.612,2902.869,1033.885
