Quarters,(All),,,,,,,,,,,,,,,,
Years,2019,,,,,,,,,,,,,,,,
,,,,,,,,,,Row Labels,Average of B1,Average of B2,Average of B3,Average of B4,Average of B5,Average of B6,Average of B7
,,,,,,,,,,Aug,20000.000,12924.989,19162.994,6766.944,4552.480,2851.899,2704.765
,,,,,,,,,,Sep,1120.186,1343.800,1402.756,1927.755,1652.676,3008.588,1253.486
,,,,,,,,,,Oct,1159.418,1358.073,1457.973,1991.170,1830.656,2995.330,1419.123
,,,,,,,,,,Nov,971.316,1183.575,1277.949,1722.278,1614.477,3020.334,1284.965
,,,,,,,,,,Dec,982.794,1181.433,1299.363,1651.758,1603.027,2975.879,1299.633
,,,,,,,,,2016,Jan,841.736,1061.931,1157.125,1424.883,1380.836,2974.284,1101.113
,,,,,,,,,,Feb,1155.839,1352.678,1468.012,1718.548,1653.880,2974.526,1319.434
,,,,,,,,,,Mar,1000.930,1284.026,1485.834,1847.671,1901.685,3058.576,1569.292
,,,,,,,,,,Apr,1181.539,1529.587,1790.715,2240.001,2301.072,3086.933,1912.852
,,,,,,,,,,May,1430.350,1803.667,2118.312,2588.200,2688.820,3085.380,2132.607
,,,,,,,,,,Jun,1457.446,1840.480,2183.181,2563.023,2737.542,2976.068,2041.825
,,,,,,,,,,Aug,2443.145,2620.715,2665.714,3159.838,2232.100,2756.736,1709.184
,,,,,,,,,,Sep,2532.768,2471.091,2770.699,2814.758,2528.482,2959.611,1967.705
,,,,,,,,,,Oct,842.355,1046.592,1118.591,1756.950,1544.055,3040.262,1191.853
,,,,,,,,,,Nov,925.804,1092.000,1126.981,1578.528,1340.822,2995.038,1060.496
,,,,,,,,,,Dec,861.434,1034.591,1089.296,1463.821,1353.844,2980.586,1080.556
,,,,,,,,,2017,Jan,1088.662,1233.229,1246.955,1544.828,1324.288,2922.682,1046.007
,,,,,,,,,,Feb,812.927,1020.282,1114.029,1425.076,1412.683,2972.373,1160.208
,,,,,,,,,,Mar,1145.782,1380.420,1539.439,1952.093,1948.392,3019.601,1590.396
,,,,,,,,,,Apr,1096.651,1390.841,1581.710,2045.867,2069.951,3096.686,1721.590
,,,,,,,,,,May,1219.171,1515.148,1685.772,2172.338,2104.468,3056.438,1664.185
,,,,,,,,,,Jun,1255.866,1592.335,1778.888,2286.973,2203.651,3041.525,1711.771
,,,,,,,,,,Aug,1132.652,1381.775,1457.045,1906.730,1650.865,2978.685,1288.966
,,,,,,,,,,Sep,1323.482,1525.881,1571.137,2196.443,1844.969,2943.313,1344.262
,,,,,,,,,,Oct,810.233,993.746,999.171,1398.932,1167.838,3018.508,901.675
,,,,,,,,,,Nov,983.513,1140.589,1210.782,1631.419,1500.279,2994.328,1226.498
,,,,,,,,,,Dec,2580.867,2753.393,2884.648,3443.156,3270.662,2628.127,3113.699
,,,,,,,,,2018,Jan,927.952,1086.611,1152.559,1546.799,1399.208,2952.391,1127.562
,,,,,,,,,,Feb,776.545,951.540,1067.159,1430.207,1427.368,2986.955,1189.095
,,,,,,,,,,Mar,764.612,929.316,1004.721,1371.706,1274.250,3044.211,1037.007
,,,,,,,,,,Apr,995.561,1263.618,1406.054,1886.466,1822.201,3076.532,1507.086
,,,,,,,,,,May,1241.833,1524.986,1660.310,2079.684,1906.314,3059.420,1527.936
