Quarters,(All),,,,,,,,,,,,,,,,
Years,2019,,,,,,,,,,,,,,,,
,,,,,,,,,,Row Labels,Average of B1,Average of B2,Average of B3,Average of B4,Average of B5,Average of B6,Average of B7
,,,,,,,,,,Oct,905.852,1125.017,1121.171,2028.847,1480.555,2991.703,1081.248
,,,,,,,,,,Nov,828.868,1018.659,1001.198,1978.901,1443.385,3011.110,1001.890
,,,,,,,,,,Dec,736.929,918.665,916.808,1880.989,1374.083,2966.291,927.830
,,,,,,,,,2016,Jan,838.160,1050.737,1158.374,1749.418,1603.072,2962.418,1272.478
,,,,,,,,,,Feb,980.307,1200.041,1237.423,1736.811,1474.584,2966.737,1126.141
,,,,,,,,,,Mar,1157.143,1426.209,1630.363,2293.445,2192.440,2980.863,1784.643
,,,,,,,,,,Apr,929.913,1277.239,1424.739,2302.326,2048.044,3062.826,1595.500
,,,,,,,,,,May,1543.273,1916.013,2157.662,2713.903,2691.247,3047.137,2202.701
,,,,,,,,,,Aug,1654.716,1833.670,1852.886,2595.523,1963.534,2886.227,1437.091
,,,,,,,,,,Sep,1057.500,1350.000,1401.500,2303.000,1950.000,2996.000,1439.000
,,,,,,,,,,Oct,926.945,1202.505,1253.308,1990.967,1771.429,3031.121,1401.681
,,,,,,,,,,Nov,898.669,1130.620,1167.136,1832.642,1593.690,3029.767,1258.984
,,,,,,,,,,Dec,774.930,1002.158,1022.196,1775.774,1427.230,2993.486,1078.810
,,,,,,,,,2017,Jan,1245.831,1441.930,1495.110,2365.464,2010.796,2949.521,1539.724
,,,,,,,,,,Feb,832.181,1094.940,1195.904,2033.285,1751.755,2985.952,1374.497
,,,,,,,,,,Mar,813.330,1044.478,1122.094,2088.836,1553.319,3023.489,1156.610
,,,,,,,,,,Apr,940.000,1280.500,1395.000,2505.500,2102.500,3091.000,1572.000
,,,,,,,,,,May,1853.011,1919.610,2341.934,2729.429,2561.566,3037.154,2001.846
,,,,,,,,,,Jun,1293.000,1619.000,1745.000,2474.000,2211.000,3011.000,1692.000
,,,,,,,,,,Sep,18580.862,18010.655,18429.379,11401.690,5385.897,2845.379,3504.690
,,,,,,,,,,Oct,1073.965,1336.935,1413.072,2293.751,2030.847,3034.035,1574.398
,,,,,,,,,,Nov,1035.609,1236.296,1316.404,1917.176,1765.381,2997.898,1452.166
,,,,,,,,,,Dec,2735.267,2860.467,2976.298,3709.361,2588.069,2683.043,2254.095
,,,,,,,,,2018,Jan,853.165,1086.742,1134.105,1861.978,1525.055,2962.912,1200.445
,,,,,,,,,,Feb,803.299,1019.208,1089.111,1944.916,1642.676,2997.234,1241.429
,,,,,,,,,,Mar,852.986,1138.405,1312.968,2249.473,2058.505,3088.019,1645.123
,,,,,,,,,,Apr,1103.169,1443.544,1618.024,2436.415,2277.031,3088.483,1840.262
,,,,,,,,,,May,1323.993,1686.479,1906.226,2642.849,2514.930,3081.853,2023.030
,,,,,,,,,,Jun,6473.165,4471.901,5963.670,4799.945,3497.044,2886.758,2516.901
,,,,,,,,,,Jul,1565.261,1823.087,1942.957,2708.522,2143.913,2884.870,1512.000
,,,,,,,,,,Sep,2789.396,2786.330,2831.017,3567.863,2892.649,2920.726,2253.621
,,,,,,,,,,Oct,885.408,1166.576,1243.696,2393.343,2006.728,3055.843,1508.766
,,,,,,,,,,Nov,944.788,1184.109,1296.712,1959.174,1898.456,3032.929,1515.893
,,,,,,,,,,Dec,755.338,954.948,934.831,1328.805,1042.403,2949.325,847.844
,,,,,,,,,2019,Jan,1173.718,1420.343,1549.726,2178.669,1997.162,2915.822,1617.628
,,,,,,,,,,Feb,962.181,1223.900,1387.250,2159.106,2098.145,2995.298,1678.154
,,,,,,,,,,Mar,1017.951,1314.055,1519.659,2118.704,2125.412,3062.709,1799.308
,,,,,,,,,,Apr,865.714,1126.549,1229.582,1839.044,1571.484,3008.681,1224.505
,,,,,,,,,,May,1203.467,1581.401,1801.143,2517.181,2442.313,3078.132,2010.676
,,,,,,,,,,Jun,1112.234,1454.208,1599.779,2224.312,1982.000,3054.675,1617.714
,,,,,,,,,,Jul,4900.176,4700.912,4847.297,5342.363,3806.253,2687.967,2878.154
,,,,,,,,,,Aug,19160.039,13623.390,19069.584,7552.948,5761.766,2814.701,4212.390
,,,,,,,,,,Sep,1467.740,1720.169,1767.714,2997.182,2584.403,2930.844,1870.701
,,,,,,,,,,Oct,1081.559,1243.526,1244.020,1981.617,1515.429,2889.208,1151.299
,,,,,,,,,,Nov,1091.290,1245.506,1263.648,1818.494,1590.198,2984.185,1206.000
,,,,,,,,,,Dec,781.778,977.001,1044.803,1542.044,1488.143,2953.138,1182.776
