Quarters,(All),,,,,,,,,,,,,,,,
Years,2019,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Row Labels,Average of B1,Average of B2,Average of B3,Average of B4,Average of B5,Average of B6,Average of B7,,,Row Labels,Average of B1,Average of B2,Average of B3,Average of B4,Average of B5,Average of B6,Average of B7
,,,,,,,,,,Oct,1077,1383,1561.666667,2566.333333,2438.333333,3063.333333,1920.333333
,,,,,,,,,,Nov,1224.416667,1463.916667,1653.583333,2534.166667,2482,3030.166667,2003.083333
,,,,,,,,,,Dec,1052.83325,1295.58325,1479.33325,2299.91675,2214.91675,2971.25,1764.41675
,,,,,,,,,2016,Jan,1093.9375,1325.0625,1524,2172.6875,2202.0625,2973.1875,1823.4375
,,,,,,,,,,Feb,1121.5,1396.5,1627.5,2346.5,2400.75,2993.5,1990.25
,,,,,,,,,,Mar,1381,1684.25,1910.25,2892.5,2611.25,3013.75,2124
,,,,,,,,,,Apr,1207.5,1570,1872,2870.5,2862.5,3114.5,2367
,,,,,,,,,,May,1342,1737.666667,2075.333333,2966.666667,3051,3092.333333,2537.666667
,,,,,,,,,,Jun,13130,5116,7674,5732,4682,2682,3538
,,,,,,,,,,Sep,1036,1352,1417,3004,2282,2987,1546
,,,,,,,,,,Oct,2237.666667,2499.333333,2750.333333,3533,3205.666667,2981.666667,2504.666667
,,,,,,,,,,Nov,1020.83325,1258.41675,1419.25,2358.41675,2245,3024.33325,1803.75
,,,,,,,,,,Dec,896,1121.75,1282.5,2152,2105.75,2993.75,1659
,,,,,,,,,2017,Jan,1155.05,1340.4,1530.15,2164.55,2268.45,2964.6,1873.9
,,,,,,,,,,Feb,1075.6,1318.666667,1537.066667,2277.8,2367.333333,3008.933333,1956.666667
,,,,,,,,,,Mar,1110.9,1421.6,1704.55,2539.45,2619.15,3068.9,2183.55
,,,,,,,,,,Apr,1153.25,1525.25,1811.25,2779,2796.75,3108.5,2296.75
,,,,,,,,,,May,1282.2,1664.933333,1938.6,2859.066667,2837.266667,3089.533333,2274.666667
,,,,,,,,,,Jun,1524.5,1926,2205,3195.5,3132,3005.5,2446
,,,,,,,,,,Jul,1577,1906.333,2061.667,2909,2581.333,2968.333,1907
,,,,,,,,,,Sep,1428.889,1649.889,1700.222333,2694.555667,2130.222333,2926,1549.889
,,,,,,,,,,Oct,1125,1383,1567,2503,2411.666667,3049,1938.666667
,,,,,,,,,,Nov,1143.875,1368,1542.375,2220.9375,2252,3015.5625,1880.3125
,,,,,,,,,,Dec,1222.11675,1350.01675,1463.23325,2026.46675,1964.36675,2938.36675,1591.21675
,,,,,,,,,2018,Jan,1135.066667,1340.733333,1535.533333,2166.733333,2227.733333,2970.933333,1859.2
,,,,,,,,,,Feb,1011.8,1264.466667,1466.933333,2155.266667,2203.8,3020.066667,1826.266667
,,,,,,,,,,Mar,1010.75,1276.75,1503.5,2460.25,2413.75,3068,1958.5
,,,,,,,,,,Apr,1215.666667,1494,1740,2528.333333,2488.666667,3036.333333,2066.333333
,,,,,,,,,,May,1197.333333,1552,1807.666667,2796.666667,2720,3120.666667,2218.666667
,,,,,,,,,,Jun,1420,1826,2077,2866,2811,3049,2243
,,,,,,,,,,Sep,954,1260,1369,2673,2229,3046,1660
,,,,,,,,,,Oct,1078.16675,1336.66675,1508.16675,2401.41675,2301.83325,3050.5,1821.16675
,,,,,,,,,,Nov,1167.666667,1383.666667,1550,2342.666667,2299.666667,3022.333333,1851.666667
,,,,,,,,,,Dec,1348.85,1566.33325,1760.65,2363.36675,2315.8,2920.9,1933.68325
