system:time_start,B1,B2,B3,B4,B5,B6,B7
17-Nov-15,966.5,"1,203.62","1,371.02","1,919.46","1,964.94","3,032.46","1,701.64"
03-Dec-15,930.2,"1,084","1,299.60","1,736.40","1,820.80","3,008","1,607.20"
04-Jan-16,854.698,"1,021.40","1,224.87","1,593.93","1,725.87","3,002.32","1,565.85"
20-Jan-16,"1,396.36","1,554.12","1,632.48","2,215.04","1,965","2,952.68","1,559.36"
05-Feb-16,865.6,"1,053.18","1,246.30","1,684.32","1,778.08","3,008.50","1,575.10"
21-Feb-16,"1,215.50","1,576.04","1,690.31","2,332.85","2,075.04","3,012.12","1,782.73"
08-Mar-16,883.942,"1,114.87","1,311.33","1,816.31","1,893.21","3,048.94","1,651.42"
24-Mar-16,984.096,"1,278.14","1,498.62","1,924.39","2,121.37","3,115.21","1,918.98"
09-Apr-16,887.462,"1,142.92","1,342.77","1,835.31","1,921.39","3,084.73","1,667.15"
25-Apr-16,"1,312.12","1,569.33","1,770.43","2,452.98","2,187.08","2,955.94","1,637.57"
11-May-16,"1,099.50","1,371.50","1,645","2,180","2,296","3,052","1,921.50"
27-May-16,"1,370","1,705","1,979","2,334","2,437","3,063","2,045"
18-Oct-16,721,954,969,"2,011","1,491","3,024","1,153"
03-Nov-16,871,"1,101.50","1,172","2,258","1,952.50","3,022","1,549.50"
19-Nov-16,894.86,"1,061.12","1,253.38","1,806.66","1,852.84","3,027.56","1,638.12"
05-Dec-16,879.5,"1,090.50","1,207.50","2,009","1,896.50","3,007","1,516"
21-Dec-16,746.725,916.196,"1,103.77","1,808.84","1,854.73","3,002.06","1,519.41"
06-Jan-17,902.8,"1,103.60","1,232.40","1,788.60","1,799.60","2,978","1,500.40"
22-Jan-17,"1,014.16","1,110.22","1,268.80","1,886.39","1,817.33","2,978.94","1,500.24"
07-Feb-17,768.887,"1,024.87","1,176.06","1,709.77","1,758.85","2,999.62","1,519.76"
23-Feb-17,858.02,"1,095.02","1,265.63","1,800.90","1,786.90","3,027.57","1,545.98"
11-Mar-17,"1,059.68","1,291.12","1,539.48","2,042.76","2,132.88","3,021.72","1,913.16"
27-Mar-17,991.173,"1,244.52","1,525.10","2,114.60","2,272.89","3,130.31","2,016.08"
12-Apr-17,"1,052.70","1,401.43","1,634.21","2,106.62","2,235.81","3,156.85","2,025.32"
28-Apr-17,"1,047","1,327","1,593","2,117","2,217","3,118","1,971"
14-May-17,"2,598.64","2,640.29","2,958.46","3,479.56","3,333.21","2,908.21","2,747.42"
30-May-17,"2,223","2,305","2,546","3,053","2,864","2,963","2,126"
15-Jun-17,"1,278.82","1,523.76","1,676","2,240.78","2,083.32","3,015.62","1,609.32"
19-Sep-17,"2,140.39","2,272.65","2,214.80","3,671.22","2,744.14","2,867.98","2,154.31"
05-Oct-17,870.5,"1,092","1,221.50","2,300.50","1,999.50","3,031.50","1,590.50"
21-Oct-17,911.961,"1,131.35","1,207.90","2,155.37","1,958.22","3,030.86","1,529.63"
06-Nov-17,870,"1,035","1,168","1,653","1,589","3,033","1,381"
22-Nov-17,"1,025.67","1,239.21","1,371.37","1,944.96","1,912","3,009.69","1,621.83"
08-Dec-17,"1,319.56","1,246.04","1,278.76","1,610","1,163.56","2,941.44",836.72
24-Dec-17,951.346,"1,144.73","1,244.40","1,791.92","1,787.06","2,977.39","1,498.31"
09-Jan-18,"1,052.20","1,126.80","1,302.60","1,817.20","1,834.60","2,969.60","1,591.20"
25-Jan-18,795.558,"1,042.52","1,152.85","1,807.31","1,772.52","2,982.90","1,452.02"
10-Feb-18,942.189,"1,067.15","1,193.38","1,606.62","1,566.94","2,980.94","1,345.89"
26-Feb-18,932.38,"1,096.84","1,267.44","1,857.74","1,852.02","3,026.88","1,585.88"
14-Mar-18,"1,718","1,801","1,938","2,839","2,388","2,965","1,809"
30-Mar-18,904.346,"1,151.94","1,363.94","2,163.60","2,145.96","3,094.48","1,773.65"
15-Apr-18,982.943,"1,230.17","1,490.06","2,354.11","2,396","3,084.68","1,970.76"
01-May-18,"1,122.73","1,460.41","1,698.16","2,277.96","2,384.63","3,094.73","2,003.86"
17-May-18,"1,148.53","1,409.84","1,700.61","2,319.51","2,448.28","3,122.51","2,071.77"
02-Jun-18,"1,369.14","1,714.47","1,977.69","2,762.86","2,809.77","3,008.94","2,123.47"
18-Jun-18,"3,929.67","3,191.43","4,241.37","3,454.45","3,268.75","2,967.20","2,509.18"
08-Oct-18,"1,009.57","1,169.68","1,209.23","1,930.20","1,437.21","2,977.21","1,168.05"
24-Oct-18,934,"1,135","1,321","1,786","1,860","3,048","1,642"
09-Nov-18,"1,593.07","1,471.20","1,470.29","2,171.64","1,995.55","2,726.86","1,614.07"
25-Nov-18,852.245,"1,008.77","1,120.21","1,828.93","1,592.93","3,009","1,264.04"
11-Dec-18,935,"1,147","1,291","1,757","1,820","2,979","1,566"
27-Dec-18,783.84,957.72,"1,104.96","1,673.48","1,629.28","2,956.12","1,377.60"
12-Jan-19,844.623,"1,084.28","1,166.76","1,783.28","1,655.68","2,963.62","1,319.04"
28-Jan-19,920,"1,116","1,292","1,593","1,710","2,946","1,575"
13-Feb-19,"1,308","1,392","1,454.50","2,079.50","1,976","2,967","1,558.50"
01-Mar-19,840.66,"1,056.23","1,272.45","1,838.66","1,976.45","3,005.89","1,651.36"
17-Mar-19,887.66,"1,137.08","1,357.45","2,012.60","2,091.91","3,048.09","1,755.94"
02-Apr-19,967.055,"1,217.09","1,469.82","2,101.38","2,181.46","3,077.02","1,855.24"
18-Apr-19,"1,062","1,411","1,637","2,169","2,252","3,061","1,923"
04-May-19,"1,052.36","1,329.06","1,578.49","2,183.98","2,258.66","3,063.96","1,868.36"
20-May-19,"1,074.50","1,437.50","1,661","2,227","2,313","3,073","1,893.50"
05-Jun-19,"1,063","1,328","1,565","2,175","2,211","3,062","1,824"
24-Aug-19,"7,498.45","5,549.96","6,744.68","5,346.70","3,777.21","2,862.76","2,582.08"
25-Sep-19,605,816,822,"1,501","1,202","2,926",880
11-Oct-19,752.519,945.904,988.269,"2,123.62","1,669.85","3,012.81","1,251.56"
12-Nov-19,"1,022.71","1,134.64","1,247.68","1,966.52","1,835.16","3,006.63","1,493.41"
28-Nov-19,"1,054.85","1,242.76","1,294.43","1,992.13","1,685.64","2,995.09","1,337.57"
14-Dec-19,818,"1,024","1,108","1,748","1,610.50","2,968.50","1,312.50"
30-Dec-19,"1,083","1,275","1,373","1,798","1,734","2,941","1,488"
