Quarters,(All),,,,,,,,,,,,,,,,
Years,2019,,,,,,,,,,,,,,,,
,,,,,,,,,,Row Labels,Average of B1,Average of B2,Average of B3,Average of B4,Average of B5,Average of B6,Average of B7
,,,,,,,,,,May,1170.935,1469.212,1664.655,2097.563,2003.886,3052.668,1536.005
,,,,,,,,,,Jun,19104.934,16738.174,18902.963,8454.034,5829.542,2695.219,4356.956
,,,,,,,,,,Sep,605.481,717.476,644.585,778.667,516.448,2952.986,370.845
,,,,,,,,,,Oct,746.310,803.203,677.236,825.351,425.483,2975.496,280.892
,,,,,,,,,,Nov,424.387,542.612,451.857,685.032,286.554,2974.870,190.451
,,,,,,,,,,Dec,539.369,665.025,574.549,741.846,318.375,2944.684,206.444
,,,,,,,,,2017,Jan,438.789,570.026,510.431,652.202,313.701,2910.086,213.855
,,,,,,,,,,Feb,769.263,837.871,789.735,877.464,451.889,2938.091,297.076
,,,,,,,,,,Mar,591.964,733.409,738.187,967.041,667.500,2973.144,467.345
,,,,,,,,,,Apr,746.362,999.438,1086.014,1534.735,1286.576,3054.351,919.376
,,,,,,,,,,May,1756.787,2058.187,2296.166,2841.672,2530.854,2886.712,1912.987
,,,,,,,,,,Jun,2404.821,2411.006,3028.058,2966.767,3136.993,2934.195,2336.951
,,,,,,,,,,Jul,6145.486,5323.549,6036.091,3916.787,2721.983,2894.103,1993.524
,,,,,,,,,,Sep,879.265,966.612,821.001,1126.768,650.756,2956.732,440.464
,,,,,,,,,,Oct,588.166,687.249,606.141,1017.331,403.432,2988.414,253.702
,,,,,,,,,,Nov,718.592,812.628,735.864,1077.446,415.994,2958.357,249.953
,,,,,,,,,,Dec,992.709,1042.710,961.502,1172.464,696.288,2887.734,509.315
,,,,,,,,,2018,Jan,411.931,512.910,445.956,646.931,288.320,2948.273,176.435
,,,,,,,,,,Feb,512.340,594.722,545.398,730.809,384.947,2946.818,254.531
,,,,,,,,,,Mar,496.527,587.800,573.992,826.822,479.057,2972.709,321.777
,,,,,,,,,,Apr,695.661,872.930,911.424,1352.204,909.931,3022.072,644.031
,,,,,,,,,,May,1413.073,1694.326,1898.730,2466.342,2233.126,2992.094,1716.103
,,,,,,,,,,Sep,878.629,1104.076,1178.751,1610.418,1702.899,3056.094,1153.751
,,,,,,,,,,Oct,1082.034,1331.954,1471.606,1878.969,2086.934,3062.260,1445.680
,,,,,,,,,,Nov,1251.207,1484.983,1652.242,2074.285,2405.431,3043.240,1708.472
,,,,,,,,,,Dec,1827.850,1995.014,2165.526,2571.836,2540.739,2838.335,1939.222
,,,,,,,,,2019,Jan,1019.863,1272.755,1499.509,1935.450,2387.263,3014.968,1805.755
,,,,,,,,,,Feb,1562.693,1731.340,1934.633,2320.217,2730.504,2991.782,2144.262
,,,,,,,,,,Mar,1166.289,1410.842,1713.854,2161.652,2741.078,3075.717,2152.870
,,,,,,,,,,Apr,1145.358,1446.829,1738.469,2167.707,2775.403,3163.195,2236.386
,,,,,,,,,,May,1247.184,1545.789,1828.115,2204.506,2741.835,3142.334,2182.977
,,,,,,,,,,Jun,3296.006,3290.970,3499.976,3583.080,2580.797,2660.894,1963.005
,,,,,,,,,,Aug,525.243,685.654,527.068,394.270,219.310,2932.062,141.404
,,,,,,,,,,Oct,632.606,697.467,558.425,718.027,287.048,2986.800,169.887
,,,,,,,,,,Nov,585.429,675.108,545.917,1011.882,270.779,2978.313,146.607
,,,,,,,,,,Dec,1108.609,1162.326,1049.285,1385.823,714.611,2871.337,546.179
