Quarters,(All),,,,,,,,,,,,,,,,
Years,2019,,,,,,,,,,,,,,,,
,,,,,,,,,,Row Labels,Average of B1,Average of B2,Average of B3,Average of B4,Average of B5,Average of B6,Average of B7
,,,,,,,,,,Oct,748.000,903.000,923.000,2451.000,1666.000,3023.000,1129.000
,,,,,,,,,,Nov,688.950,823.250,812.650,2024.400,1305.800,3016.750,849.150
,,,,,,,,,,Dec,603.228,697.838,700.288,1502.394,1148.043,2998.821,771.448
,,,,,,,,,2017,Jan,1021.838,1036.975,1013.688,1568.938,1187.725,2963.400,769.600
,,,,,,,,,,Feb,602.379,752.784,814.097,1597.167,1361.986,3009.370,962.716
,,,,,,,,,,Mar,729.638,883.075,975.038,1715.188,1479.338,3047.038,1138.350
,,,,,,,,,,Apr,766.208,1002.330,1162.256,2039.098,1924.732,3136.573,1499.817
,,,,,,,,,,May,4092.946,3501.460,4178.649,3251.676,2624.446,2946.189,2012.433
,,,,,,,,,,Jun,763.000,1003.000,1020.000,2396.000,1596.000,2994.000,1017.000
,,,,,,,,,,Sep,3825.732,3840.268,3798.683,4464.073,3711.610,2774.683,3307.146
,,,,,,,,,,Oct,662.025,798.500,754.842,2100.074,1273.452,3015.098,764.817
,,,,,,,,,,Nov,680.238,804.725,805.438,2036.913,1436.525,3014.475,891.538
,,,,,,,,,,Dec,996.550,1005.238,940.238,1811.113,1245.250,2951.263,717.113
,,,,,,,,,2018,Jan,825.150,862.063,842.213,1508.563,1186.425,2970.050,783.313
,,,,,,,,,,Feb,737.680,812.885,870.411,1666.064,1395.949,3003.834,970.782
,,,,,,,,,,Mar,710.938,831.275,922.913,1712.363,1466.150,3059.925,1105.088
,,,,,,,,,,Apr,820.026,947.974,1058.410,1972.615,1737.821,3047.692,1219.256
,,,,,,,,,,May,730.268,903.585,957.061,1687.415,1363.061,3066.817,968.671
,,,,,,,,,,Jun,2703.775,2436.050,2953.050,3030.213,2552.963,2970.850,1855.300
,,,,,,,,,,Oct,991.500,1147.000,1162.500,2330.500,1644.500,2970.500,1149.500
,,,,,,,,,,Nov,746.500,861.500,882.000,1905.500,1431.500,3023.500,949.500
,,,,,,,,,,Dec,685.000,794.715,794.500,1638.786,1182.857,2962.929,782.072
,,,,,,,,,2019,Jan,739.500,878.500,969.500,1634.500,1538.000,2970.000,1174.500
,,,,,,,,,,Feb,1716.600,1762.500,1803.300,2278.300,1945.200,2946.600,1457.200
,,,,,,,,,,Mar,688.077,834.475,956.962,1837.834,1627.987,3036.334,1185.411
,,,,,,,,,,Apr,680.854,852.634,927.903,1769.805,1500.000,3050.537,1062.000
,,,,,,,,,,May,768.988,964.232,1075.159,1774.964,1558.634,3044.256,1146.403
,,,,,,,,,,Jun,832.842,1033.579,1221.421,2126.632,1954.842,3070.632,1453.105
,,,,,,,,,,Aug,643.000,832.000,773.000,2416.000,1446.000,2985.000,847.000
,,,,,,,,,,Sep,2223.000,2272.000,2183.000,3109.000,1730.000,2684.000,1247.000
,,,,,,,,,,Oct,675.486,763.135,677.027,2309.324,1158.324,2984.189,591.405
,,,,,,,,,,Nov,835.000,916.500,840.500,2309.000,1468.500,2983.500,830.500
,,,,,,,,,,Dec,703.650,824.100,761.100,1694.200,1056.850,2955.650,649.800
